Capas,Neuronas por capa,Learning rate,Epochs,Momentum,Loss,accuracy
5,12,0.01,300,0.1,0.12651562690734863,0.9333333373069763
5,12,0.01,300,0.25,0.1703193485736847,0.8999999761581421
5,12,0.01,300,0.5,0.17395427823066711,0.8999999761581421
5,12,0.05,300,0.1,0.10707304626703262,0.9333333373069763
5,12,0.05,300,0.25,0.11125568300485611,0.8999999761581421
5,12,0.05,300,0.5,0.09484647959470749,0.9333333373069763
5,12,0.1,300,0.1,0.0978453978896141,0.9333333373069763
5,12,0.1,300,0.25,0.13679289817810059,0.8999999761581421
5,12,0.1,300,0.5,1.1049188375473022,0.30000001192092896
7,12,0.01,300,0.1,0.16502328217029572,1.0
7,12,0.01,300,0.25,0.21054644882678986,0.8999999761581421
7,12,0.01,300,0.5,0.1931387037038803,0.8999999761581421
7,12,0.05,300,0.1,0.11071904003620148,0.8999999761581421
7,12,0.05,300,0.25,0.14193862676620483,0.8999999761581421
7,12,0.05,300,0.5,0.1397070288658142,0.8999999761581421
7,12,0.1,300,0.1,0.23164315521717072,1.0
7,12,0.1,300,0.25,0.335065633058548,0.8333333134651184
7,12,0.1,300,0.5,0.3029544949531555,0.8999999761581421
10,12,0.01,300,0.1,0.2667986750602722,0.8999999761581421
10,12,0.01,300,0.25,0.5401239395141602,0.8333333134651184
10,12,0.01,300,0.5,0.20267066359519958,0.8999999761581421
10,12,0.05,300,0.1,0.12519627809524536,0.9333333373069763
10,12,0.05,300,0.25,0.13748416304588318,0.8999999761581421
10,12,0.05,300,0.5,0.1810452938079834,0.8999999761581421
10,12,0.1,300,0.1,1.099181056022644,0.30000001192092896
10,12,0.1,300,0.25,1.1048598289489746,0.30000001192092896
10,12,0.1,300,0.5,0.46556204557418823,0.6333333253860474
5,30,0.01,300,0.1,0.1454821079969406,0.9333333373069763
5,30,0.01,300,0.25,0.14882589876651764,0.8999999761581421
5,30,0.01,300,0.5,0.1571381539106369,0.8999999761581421
5,30,0.05,300,0.1,0.12056580930948257,0.8999999761581421
5,30,0.05,300,0.25,0.1802210658788681,0.8999999761581421
5,30,0.05,300,0.5,0.10243237763643265,0.9333333373069763
5,30,0.1,300,0.1,0.10692264884710312,0.9333333373069763
5,30,0.1,300,0.25,0.1551150232553482,0.8999999761581421
5,30,0.1,300,0.5,0.19549575448036194,0.8999999761581421
7,30,0.01,300,0.1,0.10421172529459,0.9333333373069763
7,30,0.01,300,0.25,0.16826894879341125,0.8999999761581421
7,30,0.01,300,0.5,0.17423294484615326,0.8999999761581421
7,30,0.05,300,0.1,0.11434518545866013,0.9333333373069763
7,30,0.05,300,0.25,0.17400647699832916,0.8999999761581421
7,30,0.05,300,0.5,0.24661663174629211,0.8999999761581421
7,30,0.1,300,0.1,0.12220510095357895,0.9333333373069763
7,30,0.1,300,0.25,0.15441276133060455,0.8999999761581421
7,30,0.1,300,0.5,0.11099899560213089,0.9333333373069763
10,30,0.01,300,0.1,0.19003114104270935,0.8999999761581421
10,30,0.01,300,0.25,0.15011994540691376,0.8999999761581421
10,30,0.01,300,0.5,0.1918155997991562,0.8999999761581421
10,30,0.05,300,0.1,0.09655440598726273,0.9333333373069763
10,30,0.05,300,0.25,0.14727124571800232,0.8999999761581421
10,30,0.05,300,0.5,0.09158754348754883,0.9333333373069763
10,30,0.1,300,0.1,0.3797853887081146,0.699999988079071
10,30,0.1,300,0.25,0.1721787005662918,0.8999999761581421
10,30,0.1,300,0.5,1.1049188375473022,0.30000001192092896
5,48,0.01,300,0.1,0.14550185203552246,0.8999999761581421
5,48,0.01,300,0.25,0.1591910570859909,0.8999999761581421
5,48,0.01,300,0.5,0.15281261503696442,0.8999999761581421
5,48,0.05,300,0.1,0.14143136143684387,0.8999999761581421
5,48,0.05,300,0.25,0.12957459688186646,0.8999999761581421
5,48,0.05,300,0.5,0.11814459413290024,0.9333333373069763
5,48,0.1,300,0.1,0.11637325584888458,0.9333333373069763
5,48,0.1,300,0.25,0.14219965040683746,0.8999999761581421
5,48,0.1,300,0.5,0.14147061109542847,0.8999999761581421
7,48,0.01,300,0.1,0.10763958096504211,0.9333333373069763
7,48,0.01,300,0.25,0.1717800498008728,0.8999999761581421
7,48,0.01,300,0.5,0.1438782960176468,0.9333333373069763
7,48,0.05,300,0.1,0.12610457837581635,0.8999999761581421
7,48,0.05,300,0.25,0.14326919615268707,0.8999999761581421
7,48,0.05,300,0.5,0.1673583686351776,0.8999999761581421
7,48,0.1,300,0.1,0.12741997838020325,0.8999999761581421
7,48,0.1,300,0.25,0.15147830545902252,0.8999999761581421
7,48,0.1,300,0.5,0.1189349815249443,0.9333333373069763
10,48,0.01,300,0.1,0.2390359342098236,0.8666666746139526
10,48,0.01,300,0.25,0.16092613339424133,0.8999999761581421
10,48,0.01,300,0.5,0.15062223374843597,0.8999999761581421
10,48,0.05,300,0.1,0.14326518774032593,0.8999999761581421
10,48,0.05,300,0.25,0.1582968682050705,0.8999999761581421
10,48,0.05,300,0.5,0.1597672998905182,0.8999999761581421
10,48,0.1,300,0.1,0.17884966731071472,1.0
10,48,0.1,300,0.25,0.16977281868457794,0.8999999761581421
10,48,0.1,300,0.5,0.20878437161445618,0.8999999761581421
