Capas,Neuronas por capa,Learning rate,Epochs,Momentum,Loss,accuracy
10,12,0.01,100,0.1,0.8278272151947021,0.6333333253860474
10,12,0.01,100,0.25,0.9473863244056702,0.6333333253860474
10,12,0.01,100,0.5,0.8348369598388672,0.7666666507720947
10,12,0.01,200,0.1,1.0939464569091797,0.30000001192092896
10,12,0.01,200,0.25,0.2926866412162781,0.8999999761581421
10,12,0.01,200,0.5,0.034125056117773056,1.0
10,12,0.01,300,0.1,0.2714279294013977,0.8999999761581421
10,12,0.01,300,0.25,0.3719957172870636,0.8333333134651184
10,12,0.01,300,0.5,0.04671304300427437,1.0
10,12,0.05,100,0.1,0.5610736012458801,0.8333333134651184
10,12,0.05,100,0.25,0.30277493596076965,0.9666666388511658
10,12,0.05,100,0.5,0.8710868954658508,0.6666666865348816
10,12,0.05,200,0.1,0.20870845019817352,1.0
10,12,0.05,200,0.25,0.2988399863243103,0.800000011920929
10,12,0.05,200,0.5,1.104547381401062,0.30000001192092896
10,12,0.05,300,0.1,0.055721934884786606,1.0
10,12,0.05,300,0.25,0.19433696568012238,0.8999999761581421
10,12,0.05,300,0.5,0.07919586449861526,0.9333333373069763
10,12,0.1,100,0.1,1.104783296585083,0.30000001192092896
10,12,0.1,100,0.25,0.4249938428401947,0.699999988079071
10,12,0.1,100,0.5,0.39490586519241333,0.7333333492279053
10,12,0.1,200,0.1,0.3037734627723694,0.7666666507720947
10,12,0.1,200,0.25,0.4538151025772095,0.699999988079071
10,12,0.1,200,0.5,0.46392837166786194,0.6333333253860474
10,12,0.1,300,0.1,0.29708653688430786,0.9333333373069763
10,12,0.1,300,0.25,0.4821474254131317,0.699999988079071
10,12,0.1,300,0.5,1.1032110452651978,0.30000001192092896
15,12,0.01,100,0.1,1.1018397808074951,0.30000001192092896
15,12,0.01,100,0.25,1.0919337272644043,0.30000001192092896
15,12,0.01,100,0.5,1.102112889289856,0.30000001192092896
15,12,0.01,200,0.1,1.1032787561416626,0.30000001192092896
15,12,0.01,200,0.25,1.1046638488769531,0.30000001192092896
15,12,0.01,200,0.5,0.4061785936355591,0.8333333134651184
15,12,0.01,300,0.1,1.0684735774993896,0.30000001192092896
15,12,0.01,300,0.25,0.668948769569397,0.6666666865348816
15,12,0.01,300,0.5,0.9592466354370117,0.30000001192092896
15,12,0.05,100,0.1,1.1004315614700317,0.30000001192092896
15,12,0.05,100,0.25,0.49697408080101013,0.6333333253860474
15,12,0.05,100,0.5,0.39402860403060913,0.8333333134651184
15,12,0.05,200,0.1,0.4543561041355133,0.7666666507720947
15,12,0.05,200,0.25,1.1000232696533203,0.30000001192092896
15,12,0.05,200,0.5,0.3682931363582611,0.8333333134651184
15,12,0.05,300,0.1,0.255668580532074,1.0
15,12,0.05,300,0.25,0.19015227258205414,0.8999999761581421
15,12,0.05,300,0.5,0.1292182356119156,0.9333333373069763
15,12,0.1,100,0.1,0.9560635685920715,0.5333333611488342
15,12,0.1,100,0.25,1.105072021484375,0.30000001192092896
15,12,0.1,100,0.5,1.103589653968811,0.30000001192092896
15,12,0.1,200,0.1,1.0973671674728394,0.30000001192092896
15,12,0.1,200,0.25,1.1047197580337524,0.30000001192092896
15,12,0.1,200,0.5,1.104586124420166,0.30000001192092896
15,12,0.1,300,0.1,0.46467843651771545,0.6333333253860474
15,12,0.1,300,0.25,0.46289196610450745,0.699999988079071
15,12,0.1,300,0.5,1.1050963401794434,0.30000001192092896
20,12,0.01,100,0.1,1.1034972667694092,0.30000001192092896
20,12,0.01,100,0.25,1.1027023792266846,0.30000001192092896
20,12,0.01,100,0.5,1.1037203073501587,0.30000001192092896
20,12,0.01,200,0.1,1.104634404182434,0.30000001192092896
20,12,0.01,200,0.25,1.1037718057632446,0.30000001192092896
20,12,0.01,200,0.5,1.1049460172653198,0.30000001192092896
20,12,0.01,300,0.1,0.8492023348808289,0.6333333253860474
20,12,0.01,300,0.25,1.1050078868865967,0.30000001192092896
20,12,0.01,300,0.5,1.043910264968872,0.30000001192092896
20,12,0.05,100,0.1,1.1049085855484009,0.30000001192092896
20,12,0.05,100,0.25,1.104954481124878,0.30000001192092896
20,12,0.05,100,0.5,1.104651689529419,0.30000001192092896
20,12,0.05,200,0.1,1.104973554611206,0.30000001192092896
20,12,0.05,200,0.25,0.46075788140296936,0.8999999761581421
20,12,0.05,200,0.5,1.1049271821975708,0.30000001192092896
20,12,0.05,300,0.1,1.1049789190292358,0.30000001192092896
20,12,0.05,300,0.25,0.7944784760475159,0.6333333253860474
20,12,0.05,300,0.5,1.1051788330078125,0.30000001192092896
20,12,0.1,100,0.1,1.105026364326477,0.30000001192092896
20,12,0.1,100,0.25,1.1056302785873413,0.30000001192092896
20,12,0.1,100,0.5,1.0464035272598267,0.36666667461395264
20,12,0.1,200,0.1,1.104806900024414,0.30000001192092896
20,12,0.1,200,0.25,1.1094634532928467,0.30000001192092896
20,12,0.1,200,0.5,1.1047039031982422,0.30000001192092896
20,12,0.1,300,0.1,1.1053235530853271,0.30000001192092896
20,12,0.1,300,0.25,1.1048485040664673,0.30000001192092896
20,12,0.1,300,0.5,1.105817198753357,0.30000001192092896
10,30,0.01,100,0.1,0.5101045966148376,0.6666666865348816
10,30,0.01,100,0.25,0.6169841289520264,0.6666666865348816
10,30,0.01,100,0.5,0.14589492976665497,0.9666666388511658
10,30,0.01,200,0.1,0.45626315474510193,0.6333333253860474
10,30,0.01,200,0.25,0.26340001821517944,0.8999999761581421
10,30,0.01,200,0.5,0.33167552947998047,0.8666666746139526
10,30,0.01,300,0.1,0.2633711099624634,0.8666666746139526
10,30,0.01,300,0.25,0.21143555641174316,0.8999999761581421
10,30,0.01,300,0.5,0.12025845795869827,0.9333333373069763
10,30,0.05,100,0.1,0.27287185192108154,1.0
10,30,0.05,100,0.25,0.34460246562957764,0.8333333134651184
10,30,0.05,100,0.5,0.17148947715759277,0.8999999761581421
10,30,0.05,200,0.1,0.22070994973182678,0.8999999761581421
10,30,0.05,200,0.25,0.06958457827568054,1.0
10,30,0.05,200,0.5,0.25526154041290283,1.0
10,30,0.05,300,0.1,0.0388675332069397,1.0
10,30,0.05,300,0.25,0.14631731808185577,0.8999999761581421
10,30,0.05,300,0.5,0.029971767216920853,1.0
10,30,0.1,100,0.1,0.5249449014663696,0.8333333134651184
10,30,0.1,100,0.25,0.44090545177459717,0.8999999761581421
10,30,0.1,100,0.5,1.0986690521240234,0.30000001192092896
10,30,0.1,200,0.1,0.3007846474647522,0.8666666746139526
10,30,0.1,200,0.25,1.0525158643722534,0.6666666865348816
10,30,0.1,200,0.5,0.4119982421398163,0.6666666865348816
10,30,0.1,300,0.1,0.41563698649406433,0.6666666865348816
10,30,0.1,300,0.25,0.459348201751709,0.6333333253860474
